PROBLEM;BINARY;ITERATION;TIME;MEMORY;SENSORS_NUMBER
Space_Invaders_Planner1;dlv2;24;0,03;1012;8
Space_Invaders_Planner1;dlv2;25;0,03;1012;8
Space_Invaders_Planner1;dlv2;26;0,03;1012;8
Space_Invaders_Planner1;dlv2;27;0,03;1016;8
Space_Invaders_Planner1;dlv2;28;0,03;1016;8
Space_Invaders_Planner1;dlv2;29;0,03;1012;8
Space_Invaders_Planner1;dlv2;30;0,03;1012;8
Space_Invaders_Planner1;dlv2;31;0,03;1012;8
Space_Invaders_Planner1;dlv2;32;0,03;1016;8
Space_Invaders_Planner1;dlv2;33;0,03;1012;8
Space_Invaders_Planner1;dlv2;34;0,03;1016;8
Space_Invaders_Planner1;dlv2;35;0,03;1016;8
Space_Invaders_Planner1;dlv2;36;0,03;1012;8
Space_Invaders_Planner1;dlv2;37;0,03;1012;8
Space_Invaders_Planner1;dlv2;38;0,03;1012;8
Space_Invaders_Planner1;dlv2;39;0,03;1012;8
Space_Invaders_Planner1;dlv2;40;0,03;1012;8
Space_Invaders_Planner1;dlv2;41;0,03;1012;8
Space_Invaders_Planner1;dlv2;42;0,03;1016;8
Space_Invaders_Planner2;dlv2;1;0,07;1012;124
Space_Invaders_Planner2;dlv2;2;0,06;1012;124
Space_Invaders_Planner2;dlv2;3;0,06;1016;124
Space_Invaders_Planner2;dlv2;4;0,05;1012;127
Space_Invaders_Planner2;dlv2;5;0,05;1012;127
Space_Invaders_Planner2;dlv2;6;0,05;1016;127
Space_Invaders_Planner2;dlv2;7;0,05;1012;127
Space_Invaders_Planner2;dlv2;8;0,05;1012;127
Space_Invaders_Planner2;dlv2;9;0,07;1012;122
Space_Invaders_Planner2;dlv2;10;0,07;1012;122
Space_Invaders_Planner2;dlv2;11;0,07;1016;122
Space_Invaders_Planner2;dlv2;12;0,07;1016;122
Space_Invaders_Planner2;dlv2;13;0,07;1016;122
Space_Invaders_Planner2;dlv2;14;0,07;1016;122
